Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 00:14:35,AB_1,7.11,12.9,6.33,8.44,11.88,8.46
2026-04-20 00:14:35,AB_1,7.34,12.8,6.33,8.5,11.79,8.44
2026-04-20 00:14:35,AB_1,7.23,12.49,6.37,8.63,11.92,8.47
2026-04-20 00:14:36,AB_1,7.21,12.62,6.81,8.77,11.99,8.45
2026-04-20 00:14:36,AB_1,7.26,12.62,6.32,8.6,11.72,8.38
2026-04-20 00:14:37,AB_1,7.12,12.44,6.38,8.56,11.83,8.46
2026-04-20 00:14:37,AB_1,7.15,12.61,6.44,8.61,11.88,8.43
2026-04-20 00:14:37,AB_1,7.25,12.65,6.45,8.72,11.47,8.34
2026-04-20 00:14:38,AB_1,7.23,12.42,6.43,8.62,11.56,8.39
2026-04-20 00:14:38,AB_1,7.16,12.53,6.36,8.62,11.9,8.41
2026-04-20 00:14:39,AB_1,7.2,12.57,6.4,8.62,12.0,8.44
2026-04-20 00:14:39,AB_1,7.16,12.39,6.41,8.61,11.77,8.45
2026-04-20 00:14:39,AB_1,7.14,12.64,6.39,8.6,11.79,8.37
2026-04-20 00:14:40,AB_1,7.22,12.48,6.38,8.62,11.63,8.4
2026-04-20 00:14:40,AB_1,7.17,12.62,6.38,8.63,11.68,8.45
2026-04-20 00:14:41,AB_1,7.21,12.38,6.51,8.62,11.7,8.41
2026-04-20 00:14:41,AB_1,7.25,12.46,6.4,8.6,11.73,8.45
2026-04-20 00:14:41,AB_1,7.26,12.7,6.39,8.64,11.82,8.44
2026-04-20 00:14:42,AB_1,7.18,12.41,6.37,8.57,11.78,8.42
2026-04-20 00:14:42,AB_1,7.33,12.48,6.3,8.6,12.17,8.41
2026-04-20 00:14:43,AB_1,7.2,12.62,6.38,8.61,12.1,8.44
2026-04-20 00:14:43,AB_1,7.37,12.68,6.36,8.62,11.77,8.56
2026-04-20 00:14:43,AB_1,7.26,12.8,6.44,8.63,11.61,8.46
2026-04-20 00:14:44,AB_1,7.22,12.66,6.43,8.57,11.95,8.42
2026-04-20 00:14:44,AB_1,7.11,12.5,6.44,8.59,12.03,8.4
2026-04-20 00:14:45,AB_1,7.12,12.71,6.4,8.55,11.85,8.43
2026-04-20 00:14:45,AB_1,7.19,12.45,6.38,8.67,11.93,8.42
2026-04-20 00:14:45,AB_1,7.03,12.64,6.39,8.57,12.04,8.41
2026-04-20 00:14:46,AB_1,7.25,12.7,6.37,8.62,12.11,8.43
2026-04-20 00:14:46,AB_1,7.33,12.72,6.43,8.6,11.91,8.47
2026-04-20 00:14:46,AB_1,7.23,12.62,6.58,8.6,11.99,8.44
2026-04-20 00:14:47,AB_1,7.2,12.65,6.67,8.67,12.0,8.38
2026-04-20 00:14:47,AB_1,7.23,12.51,6.36,8.71,11.73,8.38
2026-04-20 00:14:48,AB_1,7.24,12.52,6.44,8.74,11.68,8.48
2026-04-20 00:14:48,AB_1,7.19,12.57,6.44,8.61,11.61,8.38
2026-04-20 00:14:48,AB_1,7.2,12.67,6.34,8.71,11.9,8.35
2026-04-20 00:14:49,AB_1,7.17,12.38,6.45,8.57,11.79,8.38
2026-04-20 00:14:49,AB_1,7.2,12.68,6.33,8.61,11.82,8.46
2026-04-20 00:14:50,AB_1,7.17,12.46,6.34,8.59,12.16,8.42
2026-04-20 00:14:50,AB_1,7.18,12.37,6.41,8.62,11.98,8.38
2026-04-20 00:14:50,AB_1,6.49,12.54,6.33,8.6,12.06,8.35
2026-04-20 00:14:51,AB_1,7.11,12.58,6.45,8.63,11.66,8.43
2026-04-20 00:14:51,AB_1,7.17,12.57,6.44,8.61,12.01,8.55
2026-04-20 00:14:52,AB_1,7.24,12.49,6.52,8.59,11.93,8.43
2026-04-20 00:14:52,AB_1,7.41,12.59,6.35,8.67,11.78,8.39
2026-04-20 00:14:52,AB_1,7.48,12.69,6.37,8.6,11.73,8.44
2026-04-20 00:14:53,AB_1,7.33,12.49,6.48,8.16,11.72,8.35
2026-04-20 00:14:53,AB_1,7.44,13.0,6.35,8.45,11.97,8.58
2026-04-20 00:14:54,AB_1,7.42,12.36,6.42,8.84,11.99,8.37
2026-04-20 00:14:54,AB_1,7.19,12.39,6.38,8.66,12.14,8.35
2026-04-20 00:14:54,AB_1,7.09,12.4,6.48,9.16,12.05,8.44
2026-04-20 00:14:55,AB_1,7.13,12.39,5.98,8.14,11.11,8.06
2026-04-20 00:14:55,AB_1,7.06,12.9,6.92,9.04,12.07,9.73
2026-04-20 00:14:56,AB_1,7.94,11.9,6.13,8.53,11.82,7.44
