Timestamp,Label,V_AB,V_AD,V_BC,V_CD,V_AC,V_BD
2026-04-20 01:15:47,BC_3,6.19,11.44,6.26,9.07,11.83,6.56
2026-04-20 01:15:47,BC_3,5.89,11.62,6.22,9.09,11.93,6.58
2026-04-20 01:15:48,BC_3,6.0,11.67,6.21,9.09,11.91,6.64
2026-04-20 01:15:48,BC_3,5.87,11.39,6.2,9.06,11.95,6.63
2026-04-20 01:15:48,BC_3,5.88,11.57,6.22,9.06,11.82,6.68
2026-04-20 01:15:49,BC_3,5.94,11.54,6.16,9.16,11.81,6.68
2026-04-20 01:15:52,BC_4,5.97,11.97,6.22,9.12,12.2,6.37
2026-04-20 01:15:52,BC_4,5.83,11.85,6.18,9.12,11.81,6.55
2026-04-20 01:15:52,BC_4,5.9,11.48,6.17,9.06,11.99,6.47
2026-04-20 01:15:53,BC_4,5.88,11.59,6.14,9.03,11.83,6.58
2026-04-20 01:15:53,BC_4,5.92,11.16,6.17,9.21,11.92,6.54
2026-04-20 01:15:54,BC_4,5.92,11.28,6.26,9.09,11.99,6.63
2026-04-20 01:15:54,BC_4,5.95,11.31,6.54,9.12,11.94,6.64
2026-04-20 01:15:54,BC_4,5.86,11.53,6.18,9.08,11.9,6.65
2026-04-20 01:15:55,BC_4,5.86,10.95,6.15,9.07,11.91,6.66
2026-04-20 01:15:55,BC_4,5.86,11.25,6.22,9.06,11.96,6.73
2026-04-20 01:16:03,CD_1,6.02,11.5,6.3,9.05,11.83,6.77
2026-04-20 01:16:03,CD_1,5.93,11.56,6.52,8.81,12.05,6.69
2026-04-20 01:16:03,CD_1,5.85,11.21,6.33,8.99,11.92,6.63
2026-04-20 01:16:04,CD_1,5.72,11.45,6.39,8.78,12.08,6.6
2026-04-20 01:16:04,CD_1,5.77,11.27,6.43,8.94,11.93,6.59
2026-04-20 01:16:05,CD_1,5.8,11.52,6.47,8.81,12.01,6.57
2026-04-20 01:16:05,CD_1,5.77,11.17,6.42,8.86,12.13,6.62
2026-04-20 01:16:05,CD_1,5.79,11.12,6.41,8.81,12.09,6.66
2026-04-20 01:16:06,CD_1,5.82,11.22,6.36,8.9,12.05,6.73
2026-04-20 01:16:06,CD_1,5.77,11.08,6.42,8.8,11.96,6.73
2026-04-20 01:16:19,CD_2,6.0,12.0,6.13,8.82,11.76,6.65
2026-04-20 01:16:19,CD_2,6.07,11.27,6.41,8.85,11.71,6.61
2026-04-20 01:16:19,CD_2,6.01,11.66,6.12,8.92,11.71,6.62
2026-04-20 01:16:20,CD_2,6.03,11.38,6.14,8.83,11.76,6.62
2026-04-20 01:16:20,CD_2,5.97,11.36,6.1,8.8,11.8,6.57
2026-04-20 01:16:21,CD_2,6.0,11.36,6.25,8.87,11.81,6.61
2026-04-20 01:16:21,CD_2,6.06,11.37,6.17,8.87,11.78,6.63
2026-04-20 01:16:21,CD_2,5.94,11.49,6.2,8.81,11.8,6.65
2026-04-20 01:16:22,CD_2,6.02,11.46,6.16,8.8,11.93,6.66
2026-04-20 01:16:22,CD_2,6.14,11.52,6.12,8.81,11.75,6.68
2026-04-20 01:16:27,CD_3,6.05,11.63,6.26,8.98,11.71,6.61
2026-04-20 01:16:28,CD_3,6.03,11.55,6.29,8.94,11.85,6.55
2026-04-20 01:16:28,CD_3,5.95,11.46,6.2,8.95,11.78,6.55
2026-04-20 01:16:29,CD_3,5.97,11.5,6.19,8.9,11.81,6.62
2026-04-20 01:16:29,CD_3,6.11,11.38,6.34,8.97,11.67,6.62
2026-04-20 01:16:29,CD_3,6.11,11.17,6.33,8.91,11.81,6.64
2026-04-20 01:16:30,CD_3,5.97,11.4,6.33,8.95,11.76,6.63
2026-04-20 01:16:30,CD_3,6.11,11.37,6.22,8.9,11.75,6.72
2026-04-20 01:16:31,CD_3,6.02,10.92,6.24,8.98,11.88,6.73
2026-04-20 01:16:31,CD_3,6.09,11.22,6.31,8.95,11.75,6.74
2026-04-20 01:16:35,CD_4,6.03,11.85,6.37,8.89,11.79,6.6
2026-04-20 01:16:35,CD_4,6.01,11.57,6.31,8.96,11.77,6.58
2026-04-20 01:16:36,CD_4,6.09,11.6,6.22,8.93,11.86,6.58
2026-04-20 01:16:36,CD_4,6.03,11.66,6.18,8.93,11.72,6.57
2026-04-20 01:16:37,CD_4,5.99,11.61,6.21,8.83,12.01,6.63
2026-04-20 01:16:37,CD_4,6.07,11.56,6.25,8.89,11.78,6.63
2026-04-20 01:16:37,CD_4,6.08,11.29,6.29,8.91,11.81,6.66
2026-04-20 01:16:38,CD_4,6.25,11.45,6.2,8.9,11.78,6.66
2026-04-20 01:16:38,CD_4,6.25,11.47,6.23,8.88,11.83,6.7
2026-04-20 01:16:39,CD_4,6.06,11.23,6.21,8.88,11.98,6.71
